Training Size	Validation Size	Test Size	LSTM Hidden Size	Dense Hidden Size	Dropout Rate	Learning Rate	Batch Size	Training Acc (ES)	Training Acc	Validation Acc (ES)	Validation Acc	Testing Acc
100	2000	12500	128	256	0.4	3.00E-04	32	0.6963	0.7057	0.5498	0.5148	0.545
200	2000	12500	256	64	0.2	3.00E-04	32	0.7541	0.8241	0.6017	0.5756	0.5934
300	2000	12500	256	256	0.3	3.00E-04	32	0.8486	0.9367	0.6678	0.6383	0.6464
400	2000	12500	16	64	0.4	3.00E-04	32	0.9797	0.9996	0.7535	0.723	0.7291
500	2000	12500	256	128	0.3	3.00E-04	32	0.8821	0.9552	0.7215	0.6815	0.6977
600	2000	12500	32	256	0.2	3.00E-04	32	0.9688	0.9982	0.7526	0.7319	0.7244
700	2000	12500	256	128	0	3.00E-04	32	0.902	0.9636	0.7343	0.6968	0.7178
800	2000	12500	64	32	0.1	3.00E-04	32	0.922	0.9836	0.7615	0.7309	0.7349
900	2000	12500	16	128	0.3	3.00E-04	32	0.9893	1	0.8141	0.7967	0.7834
1000	2000	12500	32	128	0.3	3.00E-04	32	0.9698	0.9969	0.8019	0.7797	0.765
2000	2000	12500	16	128	0.3	3.00E-04	32	0.9882	0.9985	0.8468	0.829	0.8136
3000	2000	12500	128	128	0	3.00E-04	32	0.9908	0.9968	0.8768	0.8624	0.8262
4000	2000	12500	128	32	0.1	3.00E-04	32	0.9882	0.9973	0.8762	0.8606	0.8381
5000	2000	12500	16	128	0.3	3.00E-04	32	0.9881	0.9998	0.9101	0.9015	0.8523
6000	2000	12500	32	256	0.3	3.00E-04	32	0.989	0.9995	0.8971	0.8834	0.8525
7000	2000	12500	64	128	0.1	3.00E-04	32	0.9912	0.9995	0.9108	0.8969	0.8541
8000	2000	12500	32	32	0	3.00E-04	32	0.9926	0.9998	0.9028	0.8895	0.8539
9000	2000	12500	32	16	0.3	3.00E-04	32	0.9698	0.9975	0.9139	0.8952	0.8564
10000	2000	12500	256	128	0.2	3.00E-04	32	0.9955	0.9992	0.9115	0.9052	0.8567
11000	2000	12500	16	128	0	3.00E-04	32	0.9938	0.9997	0.9234	0.9147	0.8629
12000	2000	12500	16	256	0.1	3.00E-04	32	0.9907	0.9996	0.9212	0.9122	0.863
13000	2000	12500	16	64	0.4	3.00E-04	32	0.9906	0.9991	0.925	0.9142	0.8629
14000	2000	12500	32	32	0.2	3.00E-04	32	0.9789	0.9986	0.9227	0.9106	0.8622